angIn,angOut,angRef,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angDiffDeg
0.0257097825632381,-3.09111664591925,0.0190464475584456,3,400,#5B0088,1.473,-177.108,181.091,178.58099982688
0.0257097825632381,-3.09078152792346,0.0191302270573938,3,450,#0033FF,1.473,-177.089,181.096,178.561798980083
0.0257097825632381,-3.09052790136803,0.0191936336962438,3,500,#00FF80,1.473,-177.074,181.1,178.547267248884
0.0257097825632381,-3.09032737015458,0.0192437664996043,3,550,#92FF00,1.473,-177.063,181.103,178.535777656693
0.0257097825632381,-3.09016270140106,0.0192849336879971,3,600,#FFB100,1.473,-177.053,181.105,178.526342832099
0.0257097825632381,-3.09002343157655,0.0193197511441324,3,650,#F60000,1.473,-177.045,181.107,178.518363258941
0.0257097825632381,-3.08991145149444,0.019347746164649,3,700,#A20000,1.473,-177.039,181.109,178.511947272846
0.0514196498907865,-3.040663205711,0.0380872744423948,3,400,#5B0088,2.946,-174.217,182.182,177.163297530742
0.0514196498907865,-3.03999282385077,0.0382548699074494,3,450,#0033FF,2.946,-174.179,182.192,177.124887479489
0.0514196498907865,-3.0394854581989,0.038381711320413,3,500,#00FF80,2.946,-174.15,182.199,177.095817568966
0.0514196498907865,-3.03908430547889,0.0384819995004233,3,550,#92FF00,2.946,-174.127,182.205,177.07283321117
0.0514196498907865,-3.03875489295783,0.0385643526306907,3,600,#FFB100,2.946,-174.108,182.21,177.053959263994
0.0514196498907865,-3.03847628925247,0.0386340035570323,3,650,#F60000,2.946,-174.092,182.214,177.03799644752
0.0514196498907865,-3.03825227717556,0.0386900065762566,3,700,#A20000,2.946,-174.079,182.217,177.025161500954
0.0771296871965555,-2.99025495952709,0.0571168453148169,3,400,#5B0088,4.419,-171.329,183.273,175.748194400492
0.0771296871965555,-2.98924902232933,0.0573683296142544,3,450,#0033FF,4.419,-171.271,183.287,175.690558444605
0.0771296871965555,-2.98848769268939,0.0575586620242411,3,500,#00FF80,4.419,-171.228,183.298,175.646937469418
0.0771296871965555,-2.98788573802128,0.0577091506912685,3,550,#92FF00,4.419,-171.193,183.306,175.612448007477
0.0771296871965555,-2.98739143181965,0.0578327272416732,3,600,#FFB100,4.419,-171.165,183.314,175.584126348337
0.0771296871965555,-2.98697336621499,0.0579372436428385,3,650,#F60000,4.419,-171.141,183.32,175.56017295363
0.0771296871965555,-2.98663721839201,0.0580212805985822,3,700,#A20000,4.419,-171.122,183.324,175.540913102081
0.102839980598738,-2.93991465232665,0.0761294954654659,3,400,#5B0088,5.892,-168.445,184.362,174.336998560503
0.102839980598738,-2.93857272324816,0.0764649777350952,3,450,#0033FF,5.892,-168.368,184.381,174.260111687899
0.102839980598738,-2.93755709276366,0.0767188853562178,3,500,#00FF80,5.892,-168.31,184.396,174.201920347593
0.102839980598738,-2.93675406585077,0.0769196420844404,3,550,#92FF00,5.892,-168.264,184.407,174.155910294649
0.102839980598738,-2.93609464138935,0.0770844981997938,3,600,#FFB100,5.892,-168.226,184.417,174.118128056102
0.102839980598738,-2.93553692209635,0.0772239280230447,3,650,#F60000,5.892,-168.194,184.425,174.08617309446
0.102839980598738,-2.9350884830875,0.0773360377752549,3,700,#A20000,5.892,-168.168,184.431,174.060479431884
0.128550617584789,-2.88966520715744,0.0951195160042852,3,400,#5B0088,7.365,-165.566,185.45,172.931028417327
0.128550617584789,-2.88798670540236,0.0955391414430535,3,450,#0033FF,7.365,-165.469,185.474,172.834857350856
0.128550617584789,-2.88671632584236,0.0958567363330553,3,500,#00FF80,7.365,-165.397,185.492,172.762069963688
0.128550617584789,-2.88571186698207,0.096107851048126,3,550,#92FF00,7.365,-165.339,185.507,172.704518710299
0.128550617584789,-2.88488702537265,0.0963140614504836,3,600,#FFB100,7.365,-165.292,185.518,172.657258767312
0.128550617584789,-2.88418939712528,0.0964884685123268,3,650,#F60000,7.365,-165.252,185.528,172.617287613069
0.128550617584789,-2.88362846003268,0.096628702785475,3,700,#A20000,7.365,-165.22,185.536,172.58514828509
0.15426168749203,-2.83952978543764,0.114081138911043,3,400,#5B0088,8.839,-162.693,186.536,171.531616141124
0.15426168749203,-2.83751398707692,0.114585088501223,3,450,#0033FF,8.839,-162.578,186.565,171.416119402706
0.15426168749203,-2.83598829964564,0.114966510359044,3,500,#00FF80,8.839,-162.49,186.587,171.328703952037
0.15426168749203,-2.8347819603462,0.115268095183906,3,550,#92FF00,8.839,-162.421,186.604,171.259585801518
0.15426168749203,-2.83379132888224,0.115515753049896,3,600,#FFB100,8.839,-162.364,186.619,171.202826799581
0.15426168749203,-2.83295347334134,0.115725216935122,3,650,#F60000,8.839,-162.316,186.631,171.154821213245
0.15426168749203,-2.8322797801262,0.115893640238905,3,700,#A20000,8.839,-162.278,186.64,171.116221435331
0.179973282009644,-2.78953184802193,0.133008521894376,3,400,#5B0088,10.312,-159.828,187.621,170.140111193256
0.179973282009644,-2.78717788744054,0.133597012039724,3,450,#0033FF,10.312,-159.694,187.655,170.005239186802
0.179973282009644,-2.78539622382581,0.134042427943406,3,500,#00FF80,10.312,-159.591,187.68,169.903157381166
0.179973282009644,-2.783987467606,0.134394616998359,3,550,#92FF00,10.312,-159.511,187.7,169.822441595408
0.179973282009644,-2.78283060039978,0.134683833799914,3,600,#FFB100,10.312,-159.444,187.717,169.756157987035
0.179973282009644,-2.7818521366778,0.134928449730409,3,650,#F60000,10.312,-159.388,187.731,169.700096145359
0.179973282009644,-2.78106537857299,0.135125139256614,3,700,#A20000,10.312,-159.343,187.742,169.655018226455
0.205685495708144,-2.73969521724323,0.151895733013677,3,400,#5B0088,11.785,-156.973,188.703,168.757883911347
0.205685495708144,-2.73700208894798,0.152569015087489,3,450,#0033FF,11.785,-156.819,188.742,168.603579026342
0.205685495708144,-2.73496367263331,0.153078619166155,3,500,#00FF80,11.785,-156.702,188.771,168.486786374621
