angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.00791318291197872,-3.12605564899195,0.00586254687746267,3.13396883190391,3,400,#5B0088,0.453,-179.11,180.336,179.563,0.437000000000012,1
0.00791318291197872,-3.12595251015392,0.00588833158694434,3.13386569306588,3,450,#0033FF,0.453,-179.104,180.337,179.557,0.443000000000012,1
0.00791318291197872,-3.12587445193206,0.00590784614241292,3.13378763484401,3,500,#00FF80,0.453,-179.099,180.338,179.553,0.447000000000003,1
0.00791318291197872,-3.12581273483586,0.00592327541645892,3.13372591774782,3,550,#92FF00,0.453,-179.096,180.339,179.549,0.450999999999993,1
0.00791318291197872,-3.12576205509851,0.00593594535078866,3.13367523801046,3,600,#FFB100,0.453,-179.093,180.34,179.546,0.454000000000008,1
0.00791318291197872,-3.12571919236177,0.00594666103501538,3.13363237527372,3,650,#F60000,0.453,-179.091,180.341,179.544,0.455999999999989,1
0.00791318291197872,-3.12568472854187,0.00595527698996857,3.13359791145383,3,700,#A20000,0.453,-179.089,180.341,179.542,0.457999999999998,1
0.0158263682925142,-3.11051930202852,0.0117249299634386,3.12634567032104,3,400,#5B0088,0.907,-178.22,180.672,179.126,0.873999999999995,1
0.0158263682925142,-3.11031302009757,0.0117765004461741,3.12613938839009,3,450,#0033FF,0.907,-178.208,180.675,179.115,0.884999999999991,1
0.0158263682925142,-3.11015690037106,0.0118155303778108,3.12598326866358,3,500,#00FF80,0.907,-178.199,180.677,179.106,0.894000000000006,1
0.0158263682925142,-3.11003346354501,0.0118463895843089,3.12585983183752,3,550,#92FF00,0.907,-178.192,180.679,179.099,0.90100000000001,1
0.0158263682925142,-3.10993210188233,0.0118717300000059,3.12575847017486,3,600,#FFB100,0.907,-178.186,180.68,179.093,0.907000000000011,1
0.0158263682925142,-3.10984637454039,0.0118931618354699,3.12567274283292,3,650,#F60000,0.907,-178.181,180.681,179.088,0.912000000000006,1
0.0158263682925142,-3.10977744538641,0.0119103941239728,3.12560381367893,3,700,#A20000,0.907,-178.177,180.682,179.084,0.915999999999997,1
0.0237395586115202,-3.09498427049689,0.0175869854261046,3.11872382910842,3,400,#5B0088,1.36,-177.33,181.008,178.69,1.31,1
0.0237395586115202,-3.09467483696372,0.0176643438093931,3.11841439557524,3,450,#0033FF,1.36,-177.312,181.012,178.672,1.328,1
0.0237395586115202,-3.09444064916761,0.0177228907584219,3.11818020777914,3,500,#00FF80,1.36,-177.298,181.015,178.659,1.34100000000001,1
0.0237395586115202,-3.09425548734456,0.0177691812141859,3.1179950459561,3,550,#92FF00,1.36,-177.288,181.018,178.648,1.352,1
0.0237395586115202,-3.09410343938088,0.0178071932051022,3.11784299799241,3,600,#FFB100,1.36,-177.279,181.02,178.639,1.36099999999999,1
0.0237395586115202,-3.09397484369727,0.0178393421260047,3.1177144023088,3,650,#F60000,1.36,-177.272,181.022,178.632,1.368,1
0.0237395586115202,-3.09387144618117,0.0178651915050339,3.1176110047927,3,700,#A20000,1.36,-177.266,181.024,178.626,1.374,1
0.0316527563413096,-3.07945121252066,0.023448549352608,3.11110396886196,3,400,#5B0088,1.814,-176.44,181.344,178.253,1.74700000000001,1
0.0316527563413096,-3.07903861462322,0.0235516988269667,3.11069137096453,3,450,#0033FF,1.814,-176.416,181.349,178.229,1.77099999999999,1
