angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.00791318291197872,-3.10260546148203,0.00586254687748161,3.11051864439399,5,400,#5B0088,0.453,-177.766,180.336,178.22,178.22,3
0.00791318291197872,-3.10239918380623,0.00588833158692548,3.11031236671818,5,450,#0033FF,0.453,-177.754,180.337,178.208,178.208,3
0.00791318291197872,-3.10224306736244,0.00590784614241292,3.11015625027439,5,500,#00FF80,0.453,-177.745,180.338,178.199,178.199,3
0.00791318291197872,-3.10211963317012,0.00592327541644018,3.11003281608207,5,550,#92FF00,0.453,-177.738,180.339,178.192,178.192,3
0.00791318291197872,-3.10201827369546,0.00593594535078866,3.10993145660741,5,600,#FFB100,0.453,-177.733,180.34,178.186,178.186,3
0.00791318291197872,-3.10193254822163,0.00594666103501538,3.10984573113358,5,650,#F60000,0.453,-177.728,180.341,178.181,178.181,3
0.00791318291197872,-3.10186362058201,0.00595527698996857,3.10977680349396,5,700,#A20000,0.453,-177.724,180.341,178.177,178.177,3
0.0158263682925142,-3.06361958217475,0.0117249299634576,3.07944595046727,5,400,#5B0088,0.907,-175.532,180.672,176.439,176.439,3
0.0158263682925142,-3.0632070183129,0.0117765004461552,3.07903338660542,5,450,#0033FF,0.907,-175.509,180.675,176.416,176.416,3
0.0158263682925142,-3.06289477885976,0.0118155303778202,3.07872114715228,5,500,#00FF80,0.907,-175.491,180.677,176.398,176.398,3
0.0158263682925142,-3.06264790520766,0.0118463895843464,3.07847427350018,5,550,#92FF00,0.907,-175.477,180.679,176.384,176.384,3
0.0158263682925142,-3.06244518188223,0.0118717300000339,3.07827155017474,5,600,#FFB100,0.907,-175.465,180.68,176.372,176.372,3
0.0158263682925142,-3.06227372719851,0.0118931618354419,3.07810009549103,5,650,#F60000,0.907,-175.455,180.681,176.362,176.362,3
0.0158263682925142,-3.06213586889056,0.0119103941239541,3.07796223718307,5,700,#A20000,0.907,-175.447,180.682,176.354,176.354,3
0.0237395586115202,-3.02463632879246,0.0175869854261046,3.04837588740398,5,400,#5B0088,1.36,-173.299,181.008,174.659,174.659,3
0.0237395586115202,-3.02401746172613,0.0176643438093869,3.04775702033766,5,450,#0033FF,1.36,-173.263,181.012,174.624,174.624,3
0.0237395586115202,-3.02354908613396,0.0177228907584157,3.04728864474549,5,500,#00FF80,1.36,-173.237,181.015,174.597,174.597,3
0.0237395586115202,-3.02317876248779,0.0177691812141921,3.04691832109931,5,550,#92FF00,1.36,-173.215,181.018,174.576,174.576,3
0.0237395586115202,-3.02287466656048,0.0178071932050897,3.046614225172,5,600,#FFB100,1.36,-173.198,181.02,174.558,174.558,3
0.0237395586115202,-3.02261747519328,0.0178393421259922,3.04635703380481,5,650,#F60000,1.36,-173.183,181.022,174.543,174.543,3
0.0237395586115202,-3.02241068016103,0.0178651915050339,3.04615023877255,5,700,#A20000,1.36,-173.171,181.024,174.532,174.532,3
0.0316527563413096,-2.98565701511024,0.0234485493526033,3.01730977145154,5,400,#5B0088,1.814,-171.066,181.344,172.879,172.879,3
0.0316527563413096,-2.98483181931539,0.0235516988269667,3.01648457565669,5,450,#0033FF,1.814,-171.018,181.349,172.832,172.832,3
0.0316527563413096,-2.98420728789187,0.0236297652548985,3.01586004423317,5,500,#00FF80,1.814,-170.982,181.354,172.796,172.796,3
0.0316527563413096,-2.98371349845261,0.0236914889348062,3.01536625479392,5,550,#92FF00,1.814,-170.954,181.357,172.768,172.768,3
0.0316527563413096,-2.98330801679749,0.0237421741417017,3.0149607731388,5,600,#FFB100,1.814,-170.931,181.36,172.745,172.745,3
0.0316527563413096,-2.98296507753885,0.0237850415490373,3.01461783388016,5,650,#F60000,1.814,-170.911,181.363,172.725,172.725,3
0.0316527563413096,-2.98268933669889,0.0238195091540264,3.0143420930402,5,700,#A20000,1.814,-170.896,181.365,172.709,172.709,3
0.0395659639578931,-2.94668295587844,0.0293094577086495,2.98624891983634,5,400,#5B0088,2.267,-168.832,181.679,171.099,171.099,3
0.0395659639578931,-2.94565139732966,0.0294384025272572,2.98521736128756,5,450,#0033FF,2.267,-168.773,181.687,171.04,171.04,3
0.0395659639578931,-2.94487068382346,0.0295359917155185,2.98443664778136,5,500,#00FF80,2.267,-168.729,181.692,170.996,170.996,3
0.0395659639578931,-2.94425340752925,0.0296131512522994,2.98381937148715,5,550,#92FF00,2.267,-168.693,181.697,170.96,170.96,3
0.0395659639578931,-2.94374652264865,0.0296765118623755,2.98331248660654,5,600,#FFB100,2.267,-168.664,181.7,170.931,170.931,3
0.0395659639578931,-2.94331782055651,0.0297300996238969,2.9828837845144,5,650,#F60000,2.267,-168.64,181.703,170.907,170.907,3
0.0395659639578931,-2.94297312179971,0.0297731869684945,2.98253908575761,5,700,#A20000,2.267,-168.62,181.706,170.887,170.887,3
0.0474791839422916,-2.90771546714796,0.0351695462980097,2.95519465109025,5,400,#5B0088,2.72,-166.6,182.015,169.32,169.32,3
0.0474791839422916,-2.90647750332449,0.035324291775949,2.95395668726678,5,450,#0033FF,2.72,-166.529,182.024,169.249,169.249,3
0.0474791839422916,-2.90554057492917,0.0354414078253634,2.95301975887147,5,500,#00FF80,2.72,-166.475,182.031,169.196,169.196,3
0.0474791839422916,-2.90479978545866,0.0355340065091806,2.95227896940096,5,550,#92FF00,2.72,-166.433,182.036,169.153,169.153,3
0.0474791839422916,-2.90419147548495,0.0356100452559001,2.95167065942724,5,600,#FFB100,2.72,-166.398,182.04,169.118,169.118,3
0.0474791839422916,-2.90367699188596,0.0356743557057634,2.95115617582825,5,650,#F60000,2.72,-166.368,182.044,169.089,169.089,3
0.0474791839422916,-2.90326332007891,0.03572606468164,2.9507425040212,5,700,#A20000,2.72,-166.345,182.047,169.065,169.065,3
0.0553924187817188,-2.86875586659642,0.0410286507218885,2.92414828537814,5,400,#5B0088,3.174,-164.368,182.351,167.541,167.541,3
0.0553924187817188,-2.8673114464894,0.0412092032352604,2.92270386527112,5,450,#0033FF,3.174,-164.285,182.361,167.459,167.459,3
0.0553924187817188,-2.86621826384886,0.0413458510653285,2.92161068263058,5,500,#00FF80,3.174,-164.222,182.369,167.396,167.396,3
0.0553924187817188,-2.86535392962524,0.0414538928432819,2.92074634840695,5,550,#92FF00,3.174,-164.173,182.375,167.346,167.346,3
0.0553924187817188,-2.86464416832442,0.0415426130058857,2.92003658710614,5,600,#FFB100,3.174,-164.132,182.38,167.306,167.306,3
0.0553924187817188,-2.86404388081614,0.0416176489444261,2.91943629959786,5,650,#F60000,3.174,-164.098,182.385,167.271,167.271,3
0.0553924187817188,-2.86356121780301,0.0416779818210671,2.91895363658473,5,700,#A20000,3.174,-164.07,182.388,167.244,167.244,3
0.0633056709708618,-2.82980547385469,0.0468866063382472,2.89311114482556,5,400,#5B0088,3.627,-162.136,182.686,165.763,165.763,3
0.0633056709708618,-2.82815453797581,0.0470929733231033,2.89146020894668,5,450,#0033FF,3.627,-162.041,182.698,165.668,165.668,3
0.0633056709708618,-2.82690505519062,0.0472491586712501,2.89021072616149,5,500,#00FF80,3.627,-161.97,182.707,165.597,165.597,3
0.0633056709708618,-2.82591713938643,0.0473726481467808,2.8892228103573,5,550,#92FF00,3.627,-161.913,182.714,165.54,165.54,3
0.0633056709708618,-2.82510589616167,0.0474740535498722,2.88841156713253,5,600,#FFB100,3.627,-161.867,182.72,165.494,165.494,3
0.0633056709708618,-2.82441977861595,0.0475598182430862,2.88772544958682,5,650,#F60000,3.627,-161.827,182.725,165.454,165.454,3
0.0633056709708618,-2.82386810322142,0.0476287776674059,2.88717377419228,5,700,#A20000,3.627,-161.796,182.729,165.423,165.423,3
0.0712189430131568,-2.79086561083379,0.052743248221145,2.86208455384695,5,400,#5B0088,4.081,-159.905,183.022,163.985,163.985,3
0.0712189430131568,-2.78900809122583,0.052975438172143,2.86022703423899,5,450,#0033FF,4.081,-159.798,183.035,163.879,163.879,3
0.0712189430131568,-2.78760225586066,0.0531511675927832,2.85882119887382,5,500,#00FF80,4.081,-159.718,183.045,163.798,163.798,3
0.0712189430131568,-2.7864907164034,0.0532901100249485,2.85770965941656,5,550,#92FF00,4.081,-159.654,183.053,163.735,163.735,3
0.0712189430131568,-2.78557795629972,0.0534042050379,2.85679689931288,5,600,#FFB100,4.081,-159.602,183.06,163.682,163.682,3
0.0712189430131568,-2.78480597886622,0.053500702217084,2.85602492187938,5,650,#F60000,4.081,-159.558,183.065,163.638,163.638,3
0.0712189430131568,-2.78418526689808,0.0535782912131101,2.85540420991124,5,700,#A20000,4.081,-159.522,183.07,163.603,163.603,3
0.0791322374220327,-2.7519376020528,0.058598411119876,2.83106983947483,5,400,#5B0088,4.534,-157.674,183.357,162.208,162.208,3
0.0791322374220327,-2.7498734223014,0.058856433588809,2.82900565972343,5,450,#0033FF,4.534,-157.556,183.372,162.09,162.09,3
0.0791322374220327,-2.74831117539357,0.0590517144522808,2.8274434128156,5,500,#00FF80,4.534,-157.467,183.383,162.001,162.001,3
0.0791322374220327,-2.74707596497234,0.0592061157549352,2.82620820239438,5,550,#92FF00,4.534,-157.396,183.392,161.93,161.93,3
0.0791322374220327,-2.74606164868166,0.0593329052912659,2.8251938861037,5,600,#FFB100,4.534,-157.338,183.4,161.872,161.872,3
0.0791322374220327,-2.7452037777922,0.0594401391524534,2.82433601521424,5,650,#F60000,4.534,-157.289,183.406,161.823,161.823,3
0.0791322374220327,-2.74451400204479,0.0595263611208763,2.82364623946682,5,700,#A20000,4.534,-157.249,183.411,161.783,161.783,3
0.087045556722247,-2.71302277496735,0.0644519294180865,2.80006833168959,5,400,#5B0088,4.987,-155.445,183.693,160.432,160.432,3
0.087045556722247,-2.71075185021446,0.0647357950121969,2.7977974069367,5,450,#0033FF,4.987,-155.315,183.709,160.302,160.302,3
0.087045556722247,-2.70903312628357,0.0649506355035545,2.79607868300582,5,500,#00FF80,4.987,-155.216,183.721,160.204,160.204,3
0.087045556722247,-2.70767419235634,0.0651205022444632,2.79471974907859,5,550,#92FF00,4.987,-155.138,183.731,160.126,160.126,3
0.087045556722247,-2.70655827622354,0.0652599917610615,2.79360383294579,5,600,#FFB100,4.987,-155.074,183.739,160.062,160.062,3
0.087045556722247,-2.7056144745969,0.0653779669643935,2.79266003131914,5,650,#F60000,4.987,-155.02,183.746,160.008,160.008,3
0.087045556722247,-2.70485560485477,0.0654728256821587,2.79190116157701,5,700,#A20000,4.987,-154.977,183.751,159.964,159.964,3
0.0949589034511199,-2.67412246029934,0.0703036370926954,2.76908136375046,5,400,#5B0088,5.441,-153.216,184.028,158.657,158.657,3
0.0949589034511199,-2.67164469725827,0.070613357472828,2.76660360070939,5,450,#0033FF,5.441,-153.074,184.046,158.515,158.515,3
0.0949589034511199,-2.66976942431717,0.0708477665904694,2.76472832776829,5,500,#00FF80,5.441,-152.967,184.059,158.407,158.407,3
0.0949589034511199,-2.66828670911906,0.0710331059902275,2.76324561257018,5,550,#92FF00,5.441,-152.882,184.07,158.322,158.322,3
0.0949589034511199,-2.66706914514833,0.07118530148657,2.76202804859945,5,600,#FFB100,5.441,-152.812,184.079,158.253,158.253,3
0.0949589034511199,-2.66603937179565,0.0713140231556585,2.76099827524677,5,650,#F60000,5.441,-152.753,184.086,158.194,158.194,3
0.0949589034511199,-2.66521137483784,0.0714175227753826,2.76017027828896,5,700,#A20000,5.441,-152.705,184.092,158.146,158.146,3
0.102872280159906,-2.63523799236728,0.0761533676727997,2.73811027252718,5,400,#5B0088,5.894,-150.988,184.363,156.882,156.882,3
0.102872280159906,-2.6325532893392,0.0764889555513169,2.73542556949911,5,450,#0033FF,5.894,-150.834,184.382,156.728,156.728,3
0.102872280159906,-2.63052138890605,0.0767429431054596,2.73339366906596,5,500,#00FF80,5.894,-150.718,184.397,156.612,156.612,3
0.102872280159906,-2.62891482945849,0.0769437630363988,2.7317871096184,5,550,#92FF00,5.894,-150.626,184.409,156.52,156.52,3
0.102872280159906,-2.62759556532072,0.0771086710536214,2.73046784548063,5,600,#FFB100,5.894,-150.55,184.418,156.444,156.444,3
0.102872280159906,-2.62647977555147,0.0772481447747771,2.72935205571138,5,650,#F60000,5.894,-150.486,184.426,156.38,156.38,3
0.102872280159906,-2.62558261515637,0.0773602898241629,2.72845489531628,5,700,#A20000,5.894,-150.435,184.432,156.329,156.329,3
