angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.00791318291197872,0.0507122858627479,0.00586254687748161,0.0427991029507969,6,400,#5B0088,0.453,2.906,180.336,2.452,2.452,4
0.00791318291197872,0.0509701329574892,0.00588833158692548,0.0430569500455353,6,450,#0033FF,0.453,2.92,180.337,2.467,2.467,4
0.00791318291197872,0.0511652785122483,0.00590784614243171,0.0432520956002917,6,500,#00FF80,0.453,2.932,180.338,2.478,2.478,4
0.00791318291197872,0.0513195712526748,0.00592327541645892,0.0434063883407205,6,550,#92FF00,0.453,2.94,180.339,2.487,2.487,4
0.00791318291197872,0.0514462705958754,0.00593594535076996,0.0435330876839199,6,600,#FFB100,0.453,2.948,180.34,2.494,2.494,4
0.00791318291197872,0.0515534274381111,0.00594666103495937,0.0436402445261544,6,650,#F60000,0.453,2.954,180.341,2.5,2.5,4
0.00791318291197872,0.0516395869877426,0.00595527698996857,0.043726404075787,6,700,#A20000,0.453,2.959,180.341,2.505,2.505,4
0.0158263682925142,0.101422931341949,0.0117249299634481,0.0855965630494329,6,400,#5B0088,0.907,5.811,180.672,4.904,4.904,4
0.0158263682925142,0.101938636169197,0.0117765004461458,0.0861122678766797,6,450,#0033FF,0.907,5.841,180.675,4.934,4.934,4
0.0158263682925142,0.102328935485598,0.0118155303778014,0.0865025671930821,6,500,#00FF80,0.907,5.863,180.677,4.956,4.956,4
0.0158263682925142,0.10263752755083,0.0118463895843558,0.0868111592583132,6,550,#92FF00,0.907,5.881,180.679,4.974,4.974,4
0.0158263682925142,0.102890931707621,0.0118717300000339,0.0870645634151034,6,600,#FFB100,0.907,5.895,180.68,4.988,4.988,4
0.0158263682925142,0.103105250062171,0.0118931618354326,0.0872788817696535,6,650,#F60000,0.907,5.907,180.681,5.001,5.001,4
0.0158263682925142,0.103277572947093,0.0119103941239448,0.0874512046545751,6,700,#A20000,0.907,5.917,180.682,5.011,5.011,4
0.0237395586115202,0.152130295649534,0.0175869854260983,0.128390737038007,6,400,#5B0088,1.36,8.716,181.008,7.356,7.356,4
0.0237395586115202,0.152903879482419,0.0176643438093743,0.129164320870892,6,450,#0033FF,1.36,8.761,181.012,7.401,7.401,4
0.0237395586115202,0.153489348972658,0.0177228907584219,0.129749790361131,6,500,#00FF80,1.36,8.794,181.015,7.434,7.434,4
0.0237395586115202,0.153952253530379,0.0177691812141859,0.130212694918851,6,550,#92FF00,1.36,8.821,181.018,7.461,7.461,4
0.0237395586115202,0.154332373439504,0.0178071932050897,0.130592814827978,6,600,#FFB100,1.36,8.843,181.02,7.482,7.482,4
0.0237395586115202,0.154653862648491,0.0178393421259922,0.130914304036963,6,650,#F60000,1.36,8.861,181.022,7.501,7.501,4
0.0237395586115202,0.154912356438852,0.0178651915050464,0.131172797827324,6,700,#A20000,1.36,8.876,181.024,7.516,7.516,4
0.0316527563413096,0.20283273718475,0.0234485493525938,0.171179980843444,6,400,#5B0088,1.814,11.621,181.344,9.808,9.808,4
0.0316527563413096,0.203864231928347,0.0235516988269667,0.172211475587041,6,450,#0033FF,1.814,11.681,181.349,9.867,9.867,4
0.0316527563413096,0.204644896207722,0.0236297652548985,0.172992139866415,6,500,#00FF80,1.814,11.725,181.354,9.912,9.912,4
0.0316527563413096,0.205262133006775,0.0236914889348062,0.173609376665469,6,550,#92FF00,1.814,11.761,181.357,9.947,9.947,4
0.0316527563413096,0.205768985075704,0.023742174141697,0.174116228734398,6,600,#FFB100,1.814,11.79,181.36,9.976,9.976,4
